vars,coef,se,cilo_95,cihi_95,cilo_99,cihi_99
collegeDegree,0.12314888234502284,0.06133605083219515,0.0029302227139203496,0.24336754197612534,-0.033871407785396754,0.28016917247544243
female,-0.17181598672629184,0.06026646328075146,-0.2899382547565647,-0.053693718696018966,-0.3260981327250156,-0.017533840727568084
length,-0.0017868666438394364,0.0013096947140499426,-0.004353868283377324,7.801349956984508e-4,-0.005139685111807289,0.0015659518241284164
age,-0.0024561102396979386,0.0018165745434927745,-0.006016596344943777,0.0011043758655478993,-0.007106541071039442,0.0021943205916435645
